title,property_type,location,price,bedrooms,bathrooms,toilets,added_date,updated_date
5 Bedroom Detached Duplex,5 Bedroom Detached Duplex/House FOR SALE,Chevron Lekki Lagos,750000000,5.0,5.0,,10 Oct 2025,11 Nov 2025
Luxury 5 Bedroom Fully Detached Duplex,Luxury 5 Bedroom Fully Detached Duplex/House FOR Sale,Orchid Lekki Lagos,420000000,5.0,5.0,,11 Nov 2025,12 Nov 2025
5bed Detached+bq..,5bed Detached+bq../House FOR Sale,Amuwo Odofin Lagos,250000000,5.0,6.0,,03 Nov 2025,12 Nov 2025
4bed Detached+bq..,4bed Detached+bq../House FOR Sale,Magodo Gra Phase 1 Ojodu Lagos,400000000,4.0,5.0,,03 Nov 2025,12 Nov 2025
4bed+bq...,4bed+bq.../House FOR Sale,Opebi Ikeja Lagos,320000000,4.0,5.0,,03 Nov 2025,12 Nov 2025
4bed +bq..,4bed +bq../House FOR Sale,Magodo Gra Phase 1 Ojodu Lagos,320000000,4.0,5.0,,03 Nov 2025,12 Nov 2025
4bed Terrace+bq,4bed Terrace+bq/House FOR Sale,Ikeja Lagos,300000000,4.0,5.0,,03 Nov 2025,12 Nov 2025
5bed+bq,5bed+bq/House FOR Sale,Omole Phase 1 Ojodu Lagos,700000000,5.0,6.0,,03 Nov 2025,12 Nov 2025
4bed Semi Detaches+bq..,4bed Semi Detaches+bq../House FOR Sale,Omole Phase 2 Ojodu Lagos,450000000,5.0,6.0,,04 Nov 2025,12 Nov 2025
4bed Semi Detached+bq..,4bed Semi Detached+bq../House FOR Sale,Adeniyi Jones Ikeja Lagos,350000000,4.0,5.0,,04 Nov 2025,12 Nov 2025
4 Bedroom Duplex,4 Bedroom Duplex/House FOR SALE,Bluegate Oluyole Estate Ibadan Oyo,310000000,,,,01 Sep 2025,11 Nov 2025
6 Bedroom Detached House With 2 Bq,6 Bedroom Detached House With 2 Bq/House FOR Sale,Old Ikoyi Old Ikoyi Ikoyi Lagos,2000000000,6.0,6.0,,09 Sep 2025,12 Nov 2025
4 Bedroom Terrace House,4 Bedroom Terrace House/House FOR Sale,Banana Island Estate Banana Island Ikoyi Lagos,1450000000,4.0,4.0,,24 Sep 2025,12 Nov 2025
New 5 Bedroom Semi Detached House With Bq,New 5 Bedroom Semi Detached House With Bq/House FOR Sale,Banana Island Estate Banana Island Ikoyi Lagos,1700000000,5.0,5.0,,01 Oct 2025,12 Nov 2025
Waterfront 5 Bedroom Apartment +2bq,Waterfront 5 Bedroom Apartment +2bq/Flat Apartment FOR Sale,Old Ikoyi Ikoyi Lagos,$ 6500000,5.0,5.0,,10 Oct 2025,12 Nov 2025
New 2 Bedroom Apartment With Elevator,New 2 Bedroom Apartment With Elevator/Flat Apartment FOR Sale,"Off Awolowo Road, Ikoyi S.w Ikoyi Lagos",280000000,2.0,2.0,,06 Nov 2025,12 Nov 2025
400.628 Sqm Of Land Available,400.628 Sqm Of Land Available/Land FOR Sale,Megamound Estate Ikota Lekki Ikota Lekki Lagos,240000000,10.0,10.0,,12 Nov 2025,12 Nov 2025
2units Of 4bed Detaches..,2units Of 4bed Detaches../House FOR Sale,Opebi Ikeja Lagos,980000000,4.0,5.0,,12 Nov 2025,12 Nov 2025
1000 Sqms Land With A Bq On It,1000 Sqms Land With A Bq On It/Land FOR Sale,Engineer Lere Adigun Gra Basorun Ibadan Oyo,205000000/sqm,,,,01 Sep 2025,12 Nov 2025
685sqm Residential Plot With 4 Room Office Space,685sqm Residential Plot With 4 Room Office Space/Land FOR Sale,"Otiti Oladimeji Neighbourhood, New Bodija Bodija Ibadan Oyo",200000000/sqm,,,,08 Sep 2025,12 Nov 2025
1000 Sqms Commercial Plot For Sale,1000 Sqms Commercial Plot For Sale/Land FOR Sale,Idi Ape Basorun Ibadan Oyo,300000000/sqm,,,,29 Aug 2025,12 Nov 2025
517 Sqms Commercial Land For Sale,517 Sqms Commercial Land For Sale/Land FOR Sale,General Gas Along Kolapo Ishola Gra Akobo Ibadan Oyo,150000000/sqm,,,,28 Aug 2025,12 Nov 2025
Massive 4 Bedroom Terraced Duplex With Bq,Massive 4 Bedroom Terraced Duplex With Bq/House FOR SALE,Main Maitama Abuja,1500000000,4.0,4.0,,06 Oct 2025,11 Nov 2025
931 Sqms With 5 Bedroom Duplex And Two Bq,931 Sqms With 5 Bedroom Duplex And Two Bq/Land FOR Sale,"Otiti Oladimeji Neighbourhood, New Bodija Bodija Ibadan Oyo",155000000/sqm,,,,08 Sep 2025,12 Nov 2025
Fully Furnished 3 Bedroom Duplex For Sale,Fully Furnished 3 Bedroom Duplex For Sale/House FOR Sale,"Carlton Gate Estate, Kolapo Ishola Gra Akobo Ibadan Oyo",170000000/sqm,4.0,4.0,,08 Sep 2025,12 Nov 2025
3 Bedroom Detached Bungalow With Mini Flat Bq,3 Bedroom Detached Bungalow With Mini Flat Bq/House FOR Sale,"Abdulsalam Estate, Akobo Ibadan Oyo",83000000,3.0,4.0,,29 Sep 2025,12 Nov 2025
500 Sqms Land For Sale,500 Sqms Land For Sale/Land FOR Sale,"Engr Lere Adigun Gra, Basorun Ibadan Oyo",100000000/sqm,,,,06 Oct 2025,12 Nov 2025
450 Sqms Land At Tiger Mini Estate,450 Sqms Land At Tiger Mini Estate/Land FOR Sale,Tiger Mini Estate Ojoo Ibadan Oyo,40000000/sqm,,,,24 Sep 2025,12 Nov 2025
5 Bedroom Terrace Duplex With Swimming Pool,5 Bedroom Terrace Duplex With Swimming Pool/House FOR Sale,Engineer Lere Adigun Gra Basorun Ibadan Oyo,210000/sqm,5.0,6.0,,13 Oct 2025,12 Nov 2025
2 Bedroom Detached Duplex,2 Bedroom Detached Duplex/House FOR Sale,Carlton Gate Estate Akobo Ibadan Oyo,100000000/sqm,2.0,3.0,,30 Oct 2025,12 Nov 2025
4 Bedroom Fully Detached Duplex With Bq,4 Bedroom Fully Detached Duplex With Bq/House FOR Sale,"Alalubosa Gra, Ibadan Oyo",300000000,4.0,5.0,,07 Nov 2025,12 Nov 2025
4 Bedroom Penthouse With Bq,4 Bedroom Penthouse With Bq/House FOR Sale,"Agodi Gra, Ibadan Oyo",320000000,4.0,4.0,,07 Nov 2025,12 Nov 2025
4 Bedroom Semi Detached Duplex,4 Bedroom Semi Detached Duplex/House FOR SALE,Ikota Lekki Lagos,180000000,4.0,4.0,,06 Oct 2025,11 Nov 2025
1200sqm Land With 5 Bedroom Bungalow And 2 Bq,1200sqm Land With 5 Bedroom Bungalow And 2 Bq/House FOR Sale,"Bashorun Housing Estate, Akobo Ibadan Oyo",160000000,5.0,6.0,,03 Nov 2025,12 Nov 2025
5 Bedroom Penthouse With Bq,5 Bedroom Penthouse With Bq/House FOR Sale,Engr Lere Adigun Gra Basorun Ibadan Oyo,450000000,5.0,5.0,,07 Nov 2025,12 Nov 2025
5 Bedroom Fully Detached Duplex With Bq,5 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Kolapo Ishola Gra Akobo Ibadan Oyo,365000000,5.0,5.0,,07 Nov 2025,12 Nov 2025
584sqm Of Land,584sqm Of Land/Land FOR Sale,Basorun Ibadan Oyo,60000000,,,,07 Nov 2025,12 Nov 2025
4 Bedroom Semi Detached Modern Duplex,4 Bedroom Semi Detached Modern Duplex/House FOR Sale,"Kolapo Ishola Gra, Akobo Ibadan Akobo Ibadan Oyo",230000000/sqm,4.0,4.0,,08 Nov 2025,12 Nov 2025
613sqm Fenced And Gated Land,613sqm Fenced And Gated Land/Land FOR Sale,"Carlton Gate Estate, General Gas, Akobo Ibadan Oyo",130000000,,,,10 Nov 2025,12 Nov 2025
Newly Built 4 Bedroom Terrace Duplex,Newly Built 4 Bedroom Terrace Duplex/House FOR Sale,Kolapo Ishola Gra Akobo Ibadan Oyo,200000000,4.0,4.0,,11 Nov 2025,12 Nov 2025
Newly Built 3 Bedroom Apartment,Newly Built 3 Bedroom Apartment/Flat Apartment FOR Sale,Kolapo Ishola Gra Akobo Ibadan Oyo,130000000/sqm,3.0,3.0,,12 Nov 2025,12 Nov 2025
Residential Land,Residential Land/Land FOR Sale,"Agbowa, Ikorodu Lagos",1500000,,,,29 Oct 2025,12 Nov 2025
Land Measuring 500sqm,Land Measuring 500sqm/Land FOR Sale,Bogije Opposite Beechwood Estate Eputu Ibeju Lekki Lagos,6500000,,,,31 Oct 2025,12 Nov 2025
Newly Built 2 Bedroom Flat,Newly Built 2 Bedroom Flat/House FOR Sale,Freedom Way Lekki Phase 1 Lekki Lagos,190000000,2.0,2.0,,05 Nov 2025,11 Nov 2025
3 Units Of Terrace Duplexes Of 4 Bedrooms,3 Units Of Terrace Duplexes Of 4 Bedrooms/House FOR SALE,Alao Akala Gra Akobo Ibadan Oyo,250000000,4.0,4.0,,20 Aug 2025,11 Nov 2025
Newly Built 5 Bedroom Fully Detached House With Bq,Newly Built 5 Bedroom Fully Detached House With Bq/House FOR Sale,Ologolo Lekki Lagos,290000000,5.0,5.0,,08 Nov 2025,11 Nov 2025
5 Bedroom Flat,5 Bedroom Flat/House FOR Sale,Idado Lekki Lagos,550000000,5.0,5.0,,08 Nov 2025,11 Nov 2025
