title,property_type,location,price,bedrooms,bathrooms,toilets,added_date,updated_date,city,price_per_bedroom,price_category,month_posted,property_category
5 bedroom detached duplex,5 bedroom detached duplex/house for sale,chevron lekki lagos,750000000.0,5.0,5.0,,2025-10-10,11 Nov 2025,Lagos,150000000.0,High,2025-10,detached duplex
luxury 5 bedroom fully detached duplex,luxury 5 bedroom fully detached duplex/house for sale,orchid lekki lagos,420000000.0,5.0,5.0,,2025-11-11,12 Nov 2025,Lagos,84000000.0,High,2025-11,fully detached
5bed detached+bq..,5bed detached+bq../house for sale,amuwo odofin lagos,250000000.0,5.0,6.0,,2025-11-03,12 Nov 2025,Lagos,50000000.0,High,2025-11,house
4bed detached+bq..,4bed detached+bq../house for sale,magodo gra phase 1 ojodu lagos,400000000.0,4.0,5.0,,2025-11-03,12 Nov 2025,Lagos,100000000.0,High,2025-11,house
4bed+bq...,4bed+bq.../house for sale,opebi ikeja lagos,320000000.0,4.0,5.0,,2025-11-03,12 Nov 2025,Lagos,80000000.0,High,2025-11,house
4bed +bq..,4bed +bq../house for sale,magodo gra phase 1 ojodu lagos,320000000.0,4.0,5.0,,2025-11-03,12 Nov 2025,Lagos,80000000.0,High,2025-11,house
4bed terrace+bq,4bed terrace+bq/house for sale,ikeja lagos,300000000.0,4.0,5.0,,2025-11-03,12 Nov 2025,Lagos,75000000.0,High,2025-11,house
5bed+bq,5bed+bq/house for sale,omole phase 1 ojodu lagos,700000000.0,5.0,6.0,,2025-11-03,12 Nov 2025,Lagos,140000000.0,High,2025-11,house
4bed semi detaches+bq..,4bed semi detaches+bq../house for sale,omole phase 2 ojodu lagos,450000000.0,5.0,6.0,,2025-11-04,12 Nov 2025,Lagos,90000000.0,High,2025-11,house
4bed semi detached+bq..,4bed semi detached+bq../house for sale,adeniyi jones ikeja lagos,350000000.0,4.0,5.0,,2025-11-04,12 Nov 2025,Lagos,87500000.0,High,2025-11,semi detached duplex
4 bedroom duplex,4 bedroom duplex/house for sale,bluegate oluyole estate ibadan oyo,310000000.0,,,,2025-09-01,11 Nov 2025,Oyo,,High,2025-09,house
6 bedroom detached house with 2 bq,6 bedroom detached house with 2 bq/house for sale,old ikoyi old ikoyi ikoyi lagos,2000000000.0,6.0,6.0,,2025-09-09,12 Nov 2025,Lagos,333333333.3333333,High,2025-09,house
4 bedroom terrace house,4 bedroom terrace house/house for sale,banana island estate banana island ikoyi lagos,1450000000.0,4.0,4.0,,2025-09-24,12 Nov 2025,Lagos,362500000.0,High,2025-09,house
new 5 bedroom semi detached house with bq,new 5 bedroom semi detached house with bq/house for sale,banana island estate banana island ikoyi lagos,1700000000.0,5.0,5.0,,2025-10-01,12 Nov 2025,Lagos,340000000.0,High,2025-10,semi detached duplex
waterfront 5 bedroom apartment +2bq,waterfront 5 bedroom apartment +2bq/flat apartment for sale,old ikoyi ikoyi lagos,9347000000.0,5.0,5.0,,2025-10-10,12 Nov 2025,Lagos,1869400000.0,High,2025-10,flat/apartment
new 2 bedroom apartment with elevator,new 2 bedroom apartment with elevator/flat apartment for sale,"off awolowo road, ikoyi s.w ikoyi lagos",280000000.0,2.0,2.0,,2025-11-06,12 Nov 2025,Lagos,140000000.0,High,2025-11,flat/apartment
400.628 sqm of land available,400.628 sqm of land available/land for sale,megamound estate ikota lekki ikota lekki lagos,240000000.0,10.0,10.0,,2025-11-12,12 Nov 2025,Lagos,24000000.0,High,2025-11,land
2units of 4bed detaches..,2units of 4bed detaches../house for sale,opebi ikeja lagos,980000000.0,4.0,5.0,,2025-11-12,12 Nov 2025,Lagos,245000000.0,High,2025-11,house
1000 sqms land with a bq on it,1000 sqms land with a bq on it/land for sale,engineer lere adigun gra basorun ibadan oyo,205000000.0,,,,2025-09-01,12 Nov 2025,Oyo,,High,2025-09,land
685sqm residential plot with 4 room office space,685sqm residential plot with 4 room office space/land for sale,"otiti oladimeji neighbourhood, new bodija bodija ibadan oyo",200000000.0,,,,2025-09-08,12 Nov 2025,Oyo,,High,2025-09,land
1000 sqms commercial plot for sale,1000 sqms commercial plot for sale/land for sale,idi ape basorun ibadan oyo,300000000.0,,,,2025-08-29,12 Nov 2025,Oyo,,High,2025-08,land
517 sqms commercial land for sale,517 sqms commercial land for sale/land for sale,general gas along kolapo ishola gra akobo ibadan oyo,150000000.0,,,,2025-08-28,12 Nov 2025,Oyo,,High,2025-08,commercial land
massive 4 bedroom terraced duplex with bq,massive 4 bedroom terraced duplex with bq/house for sale,main maitama abuja,1500000000.0,4.0,4.0,,2025-10-06,11 Nov 2025,Abuja,375000000.0,High,2025-10,terraced duplex
931 sqms with 5 bedroom duplex and two bq,931 sqms with 5 bedroom duplex and two bq/land for sale,"otiti oladimeji neighbourhood, new bodija bodija ibadan oyo",155000000.0,,,,2025-09-08,12 Nov 2025,Oyo,,High,2025-09,land
fully furnished 3 bedroom duplex for sale,fully furnished 3 bedroom duplex for sale/house for sale,"carlton gate estate, kolapo ishola gra akobo ibadan oyo",170000000.0,4.0,4.0,,2025-09-08,12 Nov 2025,Oyo,42500000.0,High,2025-09,house
3 bedroom detached bungalow with mini flat bq,3 bedroom detached bungalow with mini flat bq/house for sale,"abdulsalam estate, akobo ibadan oyo",83000000.0,3.0,4.0,,2025-09-29,12 Nov 2025,Oyo,27666666.666666668,High,2025-09,bungalow
500 sqms land for sale,500 sqms land for sale/land for sale,"engr lere adigun gra, basorun ibadan oyo",100000000.0,,,,2025-10-06,12 Nov 2025,Oyo,,High,2025-10,land
450 sqms land at tiger mini estate,450 sqms land at tiger mini estate/land for sale,tiger mini estate ojoo ibadan oyo,40000000.0,,,,2025-09-24,12 Nov 2025,Oyo,,Mid,2025-09,land
5 bedroom terrace duplex with swimming pool,5 bedroom terrace duplex with swimming pool/house for sale,engineer lere adigun gra basorun ibadan oyo,210000.0,5.0,6.0,,2025-10-13,12 Nov 2025,Oyo,42000.0,Low,2025-10,house
2 bedroom detached duplex,2 bedroom detached duplex/house for sale,carlton gate estate akobo ibadan oyo,100000000.0,2.0,3.0,,2025-10-30,12 Nov 2025,Oyo,50000000.0,High,2025-10,detached duplex
4 bedroom fully detached duplex with bq,4 bedroom fully detached duplex with bq/house for sale,"alalubosa gra, ibadan oyo",300000000.0,4.0,5.0,,2025-11-07,12 Nov 2025,Oyo,75000000.0,High,2025-11,fully detached
4 bedroom penthouse with bq,4 bedroom penthouse with bq/house for sale,"agodi gra, ibadan oyo",320000000.0,4.0,4.0,,2025-11-07,12 Nov 2025,Oyo,80000000.0,High,2025-11,house
4 bedroom semi detached duplex,4 bedroom semi detached duplex/house for sale,ikota lekki lagos,180000000.0,4.0,4.0,,2025-10-06,11 Nov 2025,Lagos,45000000.0,High,2025-10,semi detached duplex
1200sqm land with 5 bedroom bungalow and 2 bq,1200sqm land with 5 bedroom bungalow and 2 bq/house for sale,"bashorun housing estate, akobo ibadan oyo",160000000.0,5.0,6.0,,2025-11-03,12 Nov 2025,Oyo,32000000.0,High,2025-11,land
5 bedroom penthouse with bq,5 bedroom penthouse with bq/house for sale,engr lere adigun gra basorun ibadan oyo,450000000.0,5.0,5.0,,2025-11-07,12 Nov 2025,Oyo,90000000.0,High,2025-11,house
5 bedroom fully detached duplex with bq,5 bedroom fully detached duplex with bq/house for sale,kolapo ishola gra akobo ibadan oyo,365000000.0,5.0,5.0,,2025-11-07,12 Nov 2025,Oyo,73000000.0,High,2025-11,fully detached
584sqm of land,584sqm of land/land for sale,basorun ibadan oyo,60000000.0,,,,2025-11-07,12 Nov 2025,Oyo,,High,2025-11,land
4 bedroom semi detached modern duplex,4 bedroom semi detached modern duplex/house for sale,"kolapo ishola gra, akobo ibadan akobo ibadan oyo",230000000.0,4.0,4.0,,2025-11-08,12 Nov 2025,Oyo,57500000.0,High,2025-11,semi detached duplex
613sqm fenced and gated land,613sqm fenced and gated land/land for sale,"carlton gate estate, general gas, akobo ibadan oyo",130000000.0,,,,2025-11-10,12 Nov 2025,Oyo,,High,2025-11,land
newly built 4 bedroom terrace duplex,newly built 4 bedroom terrace duplex/house for sale,kolapo ishola gra akobo ibadan oyo,200000000.0,4.0,4.0,,2025-11-11,12 Nov 2025,Oyo,50000000.0,High,2025-11,house
newly built 3 bedroom apartment,newly built 3 bedroom apartment/flat apartment for sale,kolapo ishola gra akobo ibadan oyo,130000000.0,3.0,3.0,,2025-11-12,12 Nov 2025,Oyo,43333333.333333336,High,2025-11,flat/apartment
residential land,residential land/land for sale,"agbowa, ikorodu lagos",1500000.0,,,,2025-10-29,12 Nov 2025,Lagos,,Low,2025-10,land
land measuring 500sqm,land measuring 500sqm/land for sale,bogije opposite beechwood estate eputu ibeju lekki lagos,6500000.0,,,,2025-10-31,12 Nov 2025,Lagos,,Low,2025-10,land
