title,property_type,location,price,bedrooms,bathrooms,toilets,parking_spaces,updated_date,added_date
5 Bedroom House With Swimming Pool And Cinema,5 Bedroom House With Swimming Pool And Cinema/House FOR SALE,Chevron Lekki Lagos,500000000,5.0,6.0,,,10 Nov 2025,16 Aug 2025
3 Bedroom Flat,3 Bedroom Flat/Flat Apartment FOR Sale,Yabatech Gra Yaba Lagos,130000000,3.0,,,,11 Nov 2025,08 Sep 2025
Luxurious Standard 3bedroom Flat,Luxurious Standard 3bedroom Flat/Flat Apartment FOR Sale,Opebi Ikeja Lagos,150000000,3.0,3.0,,,11 Nov 2025,15 Sep 2025
Luxurious Fully Furnished 4bedroom Flat,Luxurious Fully Furnished 4bedroom Flat/House FOR Sale,Soluyi Gbagada Lagos,140000000,4.0,4.0,,,11 Nov 2025,08 Sep 2025
3 Bedroom Duplex,3 Bedroom Duplex/House FOR Sale,Gbagada Lagos,100000000,3.0,,,,11 Nov 2025,04 Sep 2025
5 Bedroom Fully Detached Duplex With Bq,5 Bedroom Fully Detached Duplex With Bq/House FOR Sale,Magodo Gra Phase 1 Ojodu Lagos,500000000,5.0,,,,11 Nov 2025,04 Sep 2025
4 Bedroom Duplex,4 Bedroom Duplex/Flat Apartment FOR Sale,Gbagada Lagos,190000000,3.0,,,,11 Nov 2025,12 Sep 2025
4 Bedroom Terraced Duplex,4 Bedroom Terraced Duplex/House FOR Sale,Opebi Ikeja Lagos,390000000,4.0,,,,11 Nov 2025,15 Sep 2025
3 Bedroom Flat,3 Bedroom Flat/Flat Apartment FOR Sale,Medina Estate Medina Gbagada Lagos,150000000,3.0,3.0,,,11 Nov 2025,16 Sep 2025
3 Bedroom Flat,3 Bedroom Flat/House FOR Sale,Yabatech Gra Yaba Lagos,125000000,3.0,,,,11 Nov 2025,08 Sep 2025
Newly Built 3 Bedroom Flat,Newly Built 3 Bedroom Flat/Flat / Apartment FOR SALE,Close To Dunamis Durumi Abuja,85000000,3.0,3.0,,,10 Nov 2025,24 Jul 2025
4 Bedroom Terraced Duplex,4 Bedroom Terraced Duplex/House FOR Sale,Opebi Ikeja Lagos,370000000,4.0,,,,11 Nov 2025,15 Sep 2025
5 Units Of 3 Bedroom Flats,5 Units Of 3 Bedroom Flats/House FOR Sale,Ikeja Lagos,150000000,3.0,,,,11 Nov 2025,16 Sep 2025
Newly Built 2 Bedroom Flat,Newly Built 2 Bedroom Flat/Flat Apartment FOR Sale,Ojuelegba Surulere Lagos,80000000,2.0,3.0,,,11 Nov 2025,09 Oct 2025
